id_group, bary_x, bary_y,bary_convex_x,bary_convex_y, speed_bary_x, speed_bary_y, popu_group, nb_group, plus-proche, time
49,59.88206,295.4157,59.88206,295.4157,-0.46370524,1.6830376,1,99,9,3
51,318.69427,693.7453,318.69427,693.7453,1.012408,-1.7248275,1,99,19,3
52,120.8199,530.1641,120.8199,530.1641,1.4085747,1.105254,1,99,46,3
53,420.3007,410.2534,420.3007,410.2534,-1.6973423,-1.0578418,1,99,56,3
54,576.2949,348.62567,576.2949,348.62567,-1.7339264,-0.56602985,2,99,70,3
55,691.0349,31.838528,691.0349,31.838528,-1.4289544,-0.93346405,2,99,26,3
56,356.91745,395.47714,356.91745,395.47714,0.35954815,1.9674159,1,99,53,3
57,881.35535,426.34015,881.35535,426.34015,-0.15170327,0.0077263117,2,99,62,3
58,849.61694,134.54175,849.61694,134.54175,-1.1089833,1.6498791,1,99,39,3
59,781.1841,813.0912,781.1841,813.0912,1.579001,1.0433724,1,99,69,3
60,198.70143,622.4227,198.70143,622.4227,1.7821174,-0.90777624,1,99,1,3
61,630.8519,419.1392,630.8519,419.1392,-0.86932683,1.6826797,2,99,20,3
62,799.54803,354.28894,799.54803,354.28894,-0.7554723,-1.8518265,1,99,24,3
63,126.19794,751.39026,126.19794,751.39026,-0.19638881,-1.9903345,1,99,106,3
64,31.362,12.3509445,31.362,12.3509445,0.07003218,-1.7915952,2,99,80,3
65,778.4018,546.7186,778.4018,546.7186,1.3146967,1.3569685,1,99,45,3
66,842.4566,12.685528,842.4566,12.685528,0.45835933,1.9012365,1,99,58,3
67,688.7815,302.86768,688.7815,302.86768,0.11019957,-1.8452544,1,99,68,3
68,694.04175,282.46585,694.04175,282.46585,-0.50007755,1.8119845,1,99,67,3
69,811.75916,790.8394,811.75916,790.8394,-0.24421796,1.8953396,1,99,59,3
70,535.01587,356.70926,538.8668,354.80292,1.4156077,-1.153941,4,99,54,3
71,144.1533,243.33334,144.1533,243.33334,-0.5223583,1.8149849,1,99,81,3
72,820.78577,694.56934,820.78577,694.56934,1.2039007,-1.597067,1,99,37,3
73,589.9827,758.59186,589.9827,758.59186,-0.9474051,-1.5717655,1,99,88,3
74,310.42758,620.3459,310.42758,620.3459,1.8044564,-0.43282712,1,99,51,3
75,793.0454,885.6426,793.0454,885.6426,-1.0532447,1.4886987,1,99,59,3
76,399.35712,129.58678,399.35712,129.58678,-1.5617548,-0.8407656,1,99,96,3
78,591.86584,640.3911,591.86584,640.3911,0.055794045,-1.7707268,2,99,4,3
79,341.71564,543.2627,341.71564,543.2627,0.6681072,-1.7382429,1,99,102,3
80,135.4459,24.288807,135.4459,24.288807,1.6599811,-0.9876249,1,99,99,3
81,196.64404,274.9973,196.64404,274.9973,-0.6148217,-1.9031538,1,99,71,3
82,253.05766,400.77707,253.05766,400.77707,-0.6176494,-1.7164457,1,99,31,3
83,597.7703,496.06488,597.7703,496.06488,-1.9989969,0.06333705,1,99,20,3
84,674.62524,762.5612,674.62524,762.5612,-0.27462262,1.8352135,1,99,88,3
85,549.65546,689.2992,549.65546,689.2992,-0.20248815,1.777333,2,99,78,3
86,900.0,298.75385,900.0,298.75385,1.0573796,1.5442656,1,99,39,3
87,313.47556,800.54065,313.47556,800.54065,1.7362876,-0.15803906,1,99,33,3
88,631.54285,769.2215,631.54285,769.2215,1.6023976,-0.9596791,1,99,73,3
89,321.13614,2.3683765,321.13614,2.3683765,-1.6826909,0.96188384,1,99,38,3
90,592.9009,131.4886,592.9009,131.4886,-0.14347386,1.9948472,1,99,43,3
91,95.00476,691.22076,95.00476,691.22076,1.9681045,-0.35575947,1,99,2,3
92,683.846,505.91083,683.846,505.91083,0.048799355,1.9994047,1,99,83,3
93,229.35529,458.9032,229.35529,458.9032,-0.6902458,1.6925054,1,99,31,3
94,96.6879,892.3342,96.6879,892.3342,-1.7935193,0.41571885,1,99,109,3
95,767.0236,259.95746,767.0236,259.95746,-1.8363897,-0.7922582,1,99,68,3
96,370.15152,160.45119,370.15152,160.45119,1.8139471,-0.57195973,1,99,30,3
97,715.53674,832.37915,715.53674,832.37915,-1.4043936,-1.2160568,2,99,25,3
